c#,372000000,5280600,8200000,372000000,5280600,8200000,5.941
visual basic,5420000,4766,86700,508000,750,16800,0.027
c,382000000,5460600,8160000,7440000,24100,1640000,3.219
ruby,7890000,46389,314000,260000,800,11500,0.068
ada,21900000,91660,879000,231000,1287,32600,0.184
c++,372000000,5280600,8200000,7420000,24100,1650000,3.166
mathematica,519000,9685,277000,31500,861,22400,0.038
matlab,2800000,3943,663000,207000,1106,109000,0.101
lua,4710000,11391,85700,31500,543,3010,0.023
lisp,911000,7036,95800,40200,928,22500,0.016
fortran,880000,9951,359000,75700,2190,86700,0.057
smalltalk,1100000,2306,33500,14200,708,8770,0.007
objective-c,376000,1449,11900,21400,548,2410,0.001
python,5290000,11849,73200,264000,641,12500,0.025
javascript,109000000,4290,67100,1050000,695,9270,0.296
pascal,6600000,52362,597000,126000,1281,51900,0.105
java,25400000,66456,1060000,1290000,1154,97000,0.222
php,302000000,6573,722000,6270000,717,33300,0.899
erlang,423000,3600,25900,23300,692,7750,0.004
perl,5670000,15014,162000,312000,737,21000,0.039
